protons,symbol,name,period,group,has_image,info
20,Ca,Calcium,4,2,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
21,Sc,Scandium,4,3,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
22,Ti,Titanium,4,4,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
23,V,Vanadium,4,5,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
24,Cr,Chromium,4,6,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
25,Mn,Manganese,4,7,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
26,Fe,Iron,4,8,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
27,Co,Cobalt,4,9,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
28,Ni,Nickel,4,10,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
29,Cu,Copper,4,11,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
30,Zn,Zinc,4,12,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
31,Ga,Gallium,4,13,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
32,Ge,Germanium,4,14,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
33,As,Arsenic,4,15,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
34,Se,Selenium,4,16,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
35,Br,Bromine,4,17,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
36,Kr,Krypton,4,18,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
37,Rb,Rubidium,5,1,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
38,Sr,Strontium,5,2,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
39,Y,Yttrium,5,3,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
40,Zr,Zirconium,5,4,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
41,Nb,Niobium,5,5,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
42,Mo,Molybdenum,5,6,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
43,Tc,Technetium,5,7,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
44,Ru,Ruthenium,5,8,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
45,Rh,Rhodium,5,9,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
46,Pd,Palladium,5,10,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
47,Ag,Silver,5,11,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
48,Cd,Cadmium,5,12,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
49,In,Indium,5,13,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
50,Sn,Tin,5,14,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
51,Sb,Antimony,5,15,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
52,Te,Tellurium,5,16,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
53,I,Iodine,5,17,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
54,Xe,Xenon,5,18,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
55,Cs,Caesium,6,1,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
56,Ba,Barium,6,2,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
57,La,Lanthanum,6,19,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
58,Ce,Cerium,6,20,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
59,Pr,Praseodymium,6,21,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
60,Nd,Neodymium,6,22,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
61,Pm,Promethium,6,23,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
62,Sm,Samarium,6,24,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
63,Eu,Europium,6,25,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
64,Gd,Gadolinium,6,26,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
65,Tb,Terbium,6,27,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
66,Dy,Dysprosium,6,28,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
67,Ho,Holmium,6,29,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
68,Er,Erbium,6,30,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
69,Tm,Thulium,6,31,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
70,Yb,Ytterbium,6,32,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
71,Lu,Lutetium,6,3,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
72,Hf,Hafnium,6,4,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
73,Ta,Tantalum,6,5,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
74,W,Tungsten,6,6,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
75,Re,Rhenium,6,7,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
76,Os,Osmium,6,8,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
77,Ir,Iridium,6,9,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
78,Pt,Platinum,6,10,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
79,Au,Gold,6,11,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
80,Hg,Mercury,6,12,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
81,Tl,Thallium,6,13,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
82,Pb,Lead,6,14,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
83,Bi,Bismuth,6,15,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
84,Po,Polonium,6,16,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
85,At,Astatine,6,17,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
86,Rn,Radon,6,18,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
87,Fr,Francium,7,1,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
88,Ra,Radium,7,2,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
89,Ac,Actinium,7,19,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
90,Th,Thorium,7,20,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
91,Pa,Protactinium,7,21,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
92,U,Uranium,7,22,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
93,Np,Neptunium,7,23,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
94,Pu,Plutonium,7,24,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
95,Am,Americium,7,25,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
96,Cm,Curium,7,26,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
97,Bk,Berkelium,7,27,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
98,Cf,Californium,7,28,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
99,Es,Einsteinium,7,29,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
100,Fm,Fermium,7,30,0,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
101,Md,Mendelevium,7,31,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
102,No,Nobelium,7,32,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
103,Lr,Lawrencium,7,3,1,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
104,Rf,Rutherfordium,7,4,0,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
105,Db,Dubnium,7,5,0,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
106,Sg,Seaborgium,7,6,0,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
107,Bh,Bohrium,7,7,0,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
108,Hs,Hassium,7,8,0,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
109,Mt,Meitnerium,7,9,0,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
110,Ds,Darmstadtium,7,10,0,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
111,Rg,Roentgenium,7,11,0,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
112,Cn,Copernicium,7,12,0,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
113,Nh,Nihonium,7,13,0,"Discoverered at the [em1]RIKEN Nishina Center for Accelerator-Based Science[em1] in Japan, this element was officially[br]named on June 8, 2016. The root of its name, [em3]Nihon[em3], is one of the two ways to say [em3]Japan[em3] in Japanese, literally[br]meaning [em2]the Land of Rising Sun[em2]. Nihonium is the first element to be discovered by an Asian country."
114,Fl,Flerovium,7,14,0,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
115,Mc,Muscovium,7,15,0,"Officially named on June 8, 2016, [em3]Muscovium[em3] is so named in recognition of the [em3]Moscow[em3] region. This honors[br]the ancient Russian land that is the home of the [em1]Joint Institute for Nuclear Research[em1] where the discovery[br]experiments were conducted using the [em2]Dubna Gas-Filled Recoil Separator[em2] in combination with the heavy ion[br]accelerator capabilities of the [em2]Flerov Laboratory of Nuclear Reactions[em2]."
116,Lv,Livermorium,7,16,0,"[em3]This section hasn't been written yet![em3][br] [br]Want to contribute to Nuclides.org? [repo]Click here for details on how to write sections like this.[repo][br] [br]Contributors and collaborators are welcome and encouraged!"
117,Ts,Tennessine,7,17,0,"Officially named on June 8, 2016, [em3]Tennessine[em3] is so named in recognition of the contributions of the [em3]Tennessee[em3][br]region of the United States to superheavy element research. This region is home to the [em1]Oak Ridge National[em1][br][em1]Laboratory[em1], [em1]Vanderbilt University[em1], and the [em1]University of Tennessee at Knoxville[em1]."
118,Og,Oganesson,7,18,0,"Officially named on June 8, 2016, [em3]Oganesson[em3] honors [em2]Professor Yuri Oganessian[em2] for his pioneering[br]contributions to research of super heavy elements. Among many acheivements in the field he helped produce[br]experimental evidence for the [em3]island of stability[em3]."
